club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC Connecticut,Connecticut,USL Academy League,,,https://www.usl-academy.com/academy-league,,
AHFC Royals,Ahfc Royals,USL Academy League,,,https://www.usl-academy.com/academy-league,,
ALBION SC Colorado,Albion Colorado,USL Academy League,,,https://www.usl-academy.com/academy-league,,
AMSG FC,Amsg,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Arizona Arsenal SC,Arizona Arsenal,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Barca Residency Academy,Barca Residency Academy,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Bloomingdale Lightning FC,Bloomingdale Lightning,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Boston Bolts,Boston Bolts,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Brave SC,Brave,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Brooklyn FC,Brooklyn,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Brooklyn Italians,Brooklyn Italians,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Capo FC,Capo,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Carolina Ascent FC,Carolina Ascent,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Carolina Swarm FC,Carolina Swarm,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Charlotte Eagles,Charlotte Eagles,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Charlotte Independence,Charlotte Independence,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Chattanooga Red Wolves SC,Chattanooga Red Wolves,USL Academy League,,,https://www.usl-academy.com/academy-league,,
City SC - San Diego,- San Diego,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Cleveland Force,Cleveland Force,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Colorado Springs Switchbacks FC II,Colorado Springs Switchbacks Ii,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Colorado Storm,Colorado Storm,USL Academy League,,,https://www.usl-academy.com/academy-league,,
East Atlanta FC,East Atlanta,USL Academy League,,,https://www.usl-academy.com/academy-league,,
El Paso Locomotive FC II,El Paso Locomotive Ii,USL Academy League,,,https://www.usl-academy.com/academy-league,,
FC Copa Academy,Copa Academy,USL Academy League,,,https://www.usl-academy.com/academy-league,,
FC Miami City,Miami,USL Academy League,,,https://www.usl-academy.com/academy-league,,
FC Motown STA,Motown Sta,USL Academy League,,,https://www.usl-academy.com/academy-league,,
FC Stars,Stars,USL Academy League,,,https://www.usl-academy.com/academy-league,,
FC Tucson,Tucson,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Flatirons FC,Flatirons,USL Academy League,,,https://www.usl-academy.com/academy-league,,
Force FC,Force,USL Academy League,,,https://www.usl-academy.com/academy-league,,
