club_name,canonical_name,league_name,city,state,source_url,source_type,website
AC Connecticut,Connecticut,USL W League,,,https://www.uslwleague.com/league-teams,,
AFC Ann Arbor,Ann Arbor,USL W League,,,https://www.uslwleague.com/league-teams,,
AHFC Royals,Ahfc Royals,USL W League,,,https://www.uslwleague.com/league-teams,,
ALBION SC Colorado,Albion Colorado,USL W League,,,https://www.uslwleague.com/league-teams,,
AMSG FC,Amsg,USL W League,,,https://www.uslwleague.com/league-teams,,
Annapolis Blues FC,Annapolis Blues,USL W League,,,https://www.uslwleague.com/league-teams,,
Asheville City SC,Asheville,USL W League,,,https://www.uslwleague.com/league-teams,,
Bigfoot FC,Bigfoot,USL W League,,,https://www.uslwleague.com/league-teams,,
Birmingham Legion FC,Birmingham Legion,USL W League,,,https://www.uslwleague.com/league-teams,,
Brevard SC Riptide,Brevard Riptide,USL W League,,,https://www.uslwleague.com/league-teams,,
Brooke House FC,Brooke House,USL W League,,,https://www.uslwleague.com/league-teams,,
CISA,Cisa,USL W League,,,https://www.uslwleague.com/league-teams,,
California Storm,California Storm,USL W League,,,https://www.uslwleague.com/league-teams,,
Capo FC,Capo,USL W League,,,https://www.uslwleague.com/league-teams,,
Carolina Ascent FC,Carolina Ascent,USL W League,,,https://www.uslwleague.com/league-teams,,
Cedar Stars,Cedar Stars,USL W League,,,https://www.uslwleague.com/league-teams,,
Challenge SC,Challenge,USL W League,,,https://www.uslwleague.com/league-teams,,
Charlotte Eagles,Charlotte Eagles,USL W League,,,https://www.uslwleague.com/league-teams,,
Charlottesville Blues FC,Charlottesville Blues,USL W League,,,https://www.uslwleague.com/league-teams,,
Chattanooga Red Wolves SC,Chattanooga Red Wolves,USL W League,,,https://www.uslwleague.com/league-teams,,
Cleveland Force SC,Cleveland Force,USL W League,,,https://www.uslwleague.com/league-teams,,
Colorado International Soccer Academy,Colorado International Academy,USL W League,,,https://www.uslwleague.com/league-teams,,
Colorado Storm,Colorado Storm,USL W League,,,https://www.uslwleague.com/league-teams,,
Dayton Dutch Lions FC,Dayton Dutch Lions,USL W League,,,https://www.uslwleague.com/league-teams,,
Detroit City FC,Detroit,USL W League,,,https://www.uslwleague.com/league-teams,,
Eagle FC,Eagle,USL W League,,,https://www.uslwleague.com/league-teams,,
Edgewater Castle FC,Edgewater Castle,USL W League,,,https://www.uslwleague.com/league-teams,,
Erie Sports Center,Erie Sports Center,USL W League,,,https://www.uslwleague.com/league-teams,,
FC Buffalo,Buffalo,USL W League,,,https://www.uslwleague.com/league-teams,,
FC Miami City,Miami,USL W League,,,https://www.uslwleague.com/league-teams,,
FC Olympia,Olympia,USL W League,,,https://www.uslwleague.com/league-teams,,
Flatirons FC,Flatirons,USL W League,,,https://www.uslwleague.com/league-teams,,
Flower City 1872,Flower 1872,USL W League,,,https://www.uslwleague.com/league-teams,,
Fort Lauderdale United FC,Fort Lauderdale,USL W League,,,https://www.uslwleague.com/league-teams,,
Hartford Athletic,Hartford Athletic,USL W League,,,https://www.uslwleague.com/league-teams,,
Hill Country Linces,Hill Country Linces,USL W League,,,https://www.uslwleague.com/league-teams,,
Hudson Valley Crusaders,Hudson Valley Crusaders,USL W League,,,https://www.uslwleague.com/league-teams,,
Indy Eleven,Indy Eleven,USL W League,,,https://www.uslwleague.com/league-teams,,
Kalamazoo FC,Kalamazoo,USL W League,,,https://www.uslwleague.com/league-teams,,
Lancaster Inferno,Lancaster Inferno,USL W League,,,https://www.uslwleague.com/league-teams,,
Lonestar SC,Lonestar,USL W League,,,https://www.uslwleague.com/league-teams,,
Lonestar SC Austin,Lonestar Austin,USL W League,,,https://www.uslwleague.com/league-teams,,
Lonestar SC San Antonio,Lonestar San Antonio,USL W League,,,https://www.uslwleague.com/league-teams,,
Long Island Rough Riders,Long Island Rough Riders,USL W League,,,https://www.uslwleague.com/league-teams,,
Los Angeles SC,Los Angeles,USL W League,,,https://www.uslwleague.com/league-teams,,
Loudoun United FC,Loudoun,USL W League,,,https://www.uslwleague.com/league-teams,,
Manhattan SC,Manhattan,USL W League,,,https://www.uslwleague.com/league-teams,,
Marin FC,Marin,USL W League,,,https://www.uslwleague.com/league-teams,,
Marin FC Sirens,Marin Sirens,USL W League,,,https://www.uslwleague.com/league-teams,,
Midwest United FC,Midwest,USL W League,,,https://www.uslwleague.com/league-teams,,
Minnesota Aurora FC,Minnesota Aurora,USL W League,,,https://www.uslwleague.com/league-teams,,
Monterey Bay Sirens,Monterey Bay Sirens,USL W League,,,https://www.uslwleague.com/league-teams,,
Morris Elite SC,Morris Elite,USL W League,,,https://www.uslwleague.com/league-teams,,
NC Courage U23,Nc Courage U23,USL W League,,,https://www.uslwleague.com/league-teams,,
NJ Copa FC,Nj Copa,USL W League,,,https://www.uslwleague.com/league-teams,,
New England Mutiny,New England Mutiny,USL W League,,,https://www.uslwleague.com/league-teams,,
North Carolina Fusion,North Carolina Fusion,USL W League,,,https://www.uslwleague.com/league-teams,,
Northern Virginia FC,Northern Virginia,USL W League,,,https://www.uslwleague.com/league-teams,,
Oakland Soul SC,Oakland Soul,USL W League,,,https://www.uslwleague.com/league-teams,,
One Knoxville,One Knoxville,USL W League,,,https://www.uslwleague.com/league-teams,,
Paisley Athletic FC,Paisley Athletic,USL W League,,,https://www.uslwleague.com/league-teams,,
Patuxent Football Athletics,Patuxent Football Athletics,USL W League,,,https://www.uslwleague.com/league-teams,,
Pittsburgh Riveters SC,Pittsburgh Riveters,USL W League,,,https://www.uslwleague.com/league-teams,,
Pleasanton RAGE,Pleasanton Rage,USL W League,,,https://www.uslwleague.com/league-teams,,
Port City FC,Port,USL W League,,,https://www.uslwleague.com/league-teams,,
Portland Cherry Bombs FC,Portland Cherry Bombs,USL W League,,,https://www.uslwleague.com/league-teams,,
RKC Third Coast,Rkc Third Coast,USL W League,,,https://www.uslwleague.com/league-teams,,
Racing Louisville FC,Racing Louisville,USL W League,,,https://www.uslwleague.com/league-teams,,
Rally Madison FC,Rally Madison,USL W League,,,https://www.uslwleague.com/league-teams,,
Real Colorado,Real Colorado,USL W League,,,https://www.uslwleague.com/league-teams,,
Richmond Ivy SC,Richmond Ivy,USL W League,,,https://www.uslwleague.com/league-teams,,
River Light FC,River Light,USL W League,,,https://www.uslwleague.com/league-teams,,
Rochester FC,Rochester,USL W League,,,https://www.uslwleague.com/league-teams,,
Rockford Raptors FC,Rockford Raptors,USL W League,,,https://www.uslwleague.com/league-teams,,
Salmon Bay FC,Salmon Bay,USL W League,,,https://www.uslwleague.com/league-teams,,
San Juan SC,San Juan,USL W League,,,https://www.uslwleague.com/league-teams,,
Santa Clarita Blue Heat FC,Santa Clarita Blue Heat,USL W League,,,https://www.uslwleague.com/league-teams,,
Sioux Falls City FC,Sioux Falls,USL W League,,,https://www.uslwleague.com/league-teams,,
Snohomish United,Snohomish,USL W League,,,https://www.uslwleague.com/league-teams,,
SoCal Reds FC,Socal Reds,USL W League,,,https://www.uslwleague.com/league-teams,,
South Carolina United Bantams,South Carolina Bantams,USL W League,,,https://www.uslwleague.com/league-teams,,
Southern California Dutch Lions FC,Southern California Dutch Lions,USL W League,,,https://www.uslwleague.com/league-teams,,
Sporting JAX,Sporting Jax,USL W League,,,https://www.uslwleague.com/league-teams,,
Steel City FC,Steel,USL W League,,,https://www.uslwleague.com/league-teams,,
Stockton Cargo SC,Stockton Cargo,USL W League,,,https://www.uslwleague.com/league-teams,,
Swarm FC,Swarm,USL W League,,,https://www.uslwleague.com/league-teams,,
TLH Reckoning,Tlh Reckoning,USL W League,,,https://www.uslwleague.com/league-teams,,
Tacoma Galaxy,Tacoma Galaxy,USL W League,,,https://www.uslwleague.com/league-teams,,
Tallahassee Reckoning,Tallahassee Reckoning,USL W League,,,https://www.uslwleague.com/league-teams,,
Toledo Villa FC,Toledo Villa,USL W League,,,https://www.uslwleague.com/league-teams,,
Union FC Macomb,Union Macomb,USL W League,,,https://www.uslwleague.com/league-teams,,
Utah United,Utah,USL W League,,,https://www.uslwleague.com/league-teams,,
Vermont Green,Vermont Green,USL W League,,,https://www.uslwleague.com/league-teams,,
Virginia Atlantic FC,Virginia Atlantic,USL W League,,,https://www.uslwleague.com/league-teams,,
Virginia Beach United FC,Virginia Beach,USL W League,,,https://www.uslwleague.com/league-teams,,
Virginia Development Academy,Virginia Development Academy,USL W League,,,https://www.uslwleague.com/league-teams,,
Wake FC,Wake,USL W League,,,https://www.uslwleague.com/league-teams,,
West Seattle Rhodies FC,West Seattle Rhodies,USL W League,,,https://www.uslwleague.com/league-teams,,
