club_name,canonical_name,league_name,city,state,source_url,source_type,website
Aggies FC,Aggies,Utah Youth Soccer Association,,Utah,https://www.utahyouthsoccer.net/youth-members/,,
Box Elder United,Box Elder,Utah Youth Soccer Association,Box Elder,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.boxelderunitedfc.com/home
Northern Utah United,Northern Utah,Utah Youth Soccer Association,Logan,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://nuu.soccer/#/home
South Cache Soccer,South Cache,Utah Youth Soccer Association,Cache Valley,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.southcachesoccer.com
Athletic Soccer Club,Athletic,Utah Youth Soccer Association,Weber and Davis Counties,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.athleticsoccerclub.org/utah
Club America,America,Utah Youth Soccer Association,Layton,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://clubs.bluesombrero.com/Default.aspx?tabid=464511&mid=518335&newskeyid=HN1&ctl=viewallnews
Gremio FC Utah,Gremio Utah,Utah Youth Soccer Association,Ogden,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.gremiofcutah.org
Ogden Soccer,Ogden,Utah Youth Soccer Association,Ogden,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.ogdensoccer.com
Peak Soccer Club,Peak,Utah Youth Soccer Association,Davis County,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://peaksoccerclub.com/tryout_info/
Rampage Soccer Club,Rampage,Utah Youth Soccer Association,Roy,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://rampagesoccerclub.com/2/
Strikers FC,Strikers,Utah Youth Soccer Association,Layton,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://laytonstrikers.com
Summit FC,Summit,Utah Youth Soccer Association,Ogden to SLC,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.summitfcutah.com
Utah Avalanche,Utah Avalanche,Utah Youth Soccer Association,Davis and Salt Lake County,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://utahavalanche.com
Utah Real FC,Utah Real,Utah Youth Soccer Association,Layton/Kaysville,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://utahrealfc.com/
Wasatch Soccer Club,Wasatch,Utah Youth Soccer Association,Kaysville,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://wasatchsoccer.org
Blast SC,Blast,Utah Youth Soccer Association,Holladay,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://blastsoccerofutah.com
Blue Knights Soccer,Blue Knights,Utah Youth Soccer Association,Sandy,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.blueknightssoccer.org
Cottonwood FC,Cottonwood,Utah Youth Soccer Association,Cottonwood Heights,Utah,https://www.utahyouthsoccer.net/youth-members/,,http://www.cottonwoodfc.org
Impact City FC,Impact,Utah Youth Soccer Association,Millcreek,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.impactcityfc.com
Murray Soccer Club,Murray,Utah Youth Soccer Association,Murray,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.murraysoccer.com/home
Park City Soccer Club,Park,Utah Youth Soccer Association,Park City,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.parkcitysoccer.org
Sparta United,Sparta,Utah Youth Soccer Association,Salt Lake City,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://spartaunited.org
Ajax Utah,Ajax Utah,Utah Youth Soccer Association,West Jordan,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.ajaxutah.com/teams/default.asp?u=AJAXUTAHFC&s=soccer&p=home
Atomic Athletics,Atomic Athletics,Utah Youth Soccer Association,Bluffdale,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://atomicathleticsutah.com
City SC,,Utah Youth Soccer Association,Riverton,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://cityscutah.com
Copper Mountain Soccer Club,Copper Mountain,Utah Youth Soccer Association,Greater Salt Lake Area,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://coppermountainsoccer.com
Elite FC,Elite,Utah Youth Soccer Association,Tooele,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://elitefcutah.com
Razzia Futbol Club,Razzia Futbol,Utah Youth Soccer Association,Salt Lake Valley,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.razziafc.com
Salt Lake Futbol Club,Salt Lake Futbol,Utah Youth Soccer Association,Salt Lake City,Utah,https://www.utahyouthsoccer.net/youth-members/,,
TC United,Tc,Utah Youth Soccer Association,Tooele,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://tcunitedsoccer.teamsnapsites.com
Utah Development Academy,Utah Development Academy,Utah Youth Soccer Association,Salt Lake City,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.udasoccer.org
Utah Glory,Utah Glory,Utah Youth Soccer Association,South Jordan,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.utahglorysoccer.com
VK Cobras,Vk Cobras,Utah Youth Soccer Association,Salt Lake City,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.fccobras.com
West Jordan Youth Soccer,West Jordan,Utah Youth Soccer Association,West Jordan,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.wjysoccer.com
West United,West,Utah Youth Soccer Association,West Valley City,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://westunitedsoccer.org
Cougar FC,Cougar,Utah Youth Soccer Association,Roosevelt,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.rooseveltcity.com/309/Youth-Soccer
Heber Valley United Soccer,Heber Valley,Utah Youth Soccer Association,Heber,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://hvusoccer.com
La Roca FC,La Roca,Utah Youth Soccer Association,Layton to Lehi,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://larocafc.com
LFC International Academy UT,Lfc International Academy Ut,Utah Youth Soccer Association,Provo/Orem,Utah,https://www.utahyouthsoccer.net/youth-members/,,http://www.lfcacademyut.com/
Nebo United,Nebo,Utah Youth Soccer Association,Payson,Utah,https://www.utahyouthsoccer.net/youth-members/,,http://nebounited.com
NUCS/UCSC,Nucs/Ucsc,Utah Youth Soccer Association,North Utah County,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.northutahcountysoccer.com
Octane FC,Octane,Utah Youth Soccer Association,Uintah,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.octanefc.com
Orem Youth Soccer,Orem,Utah Youth Soccer Association,Orem,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.oremyouthsoccer.com
Price Youth Soccer,Price,Utah Youth Soccer Association,Price,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.priceyouthsoccer.com/home
Provo Athletic Club,Provo Athletic,Utah Youth Soccer Association,Provo,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://provoathletic.com
Saratoga Springs FC,Saratoga Springs,Utah Youth Soccer Association,Saratoga Springs,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://saratogaspringsfc.com
Shooters Soccer Club,Shooters,Utah Youth Soccer Association,Southern Utah County,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.shooterssoccer.org
Utah Celtic FC,Utah Celtic,Utah Youth Soccer Association,Orem,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.utahceltic.com
Utah Rush,Utah Rush,Utah Youth Soccer Association,Orem,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.utah-rush.com
Utah Surf Soccer Club,Utah Surf,Utah Youth Soccer Association,Utah County,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://utahsurfsoccer.com
Xolos Utah,Xolos Utah,Utah Youth Soccer Association,Provo,Utah,https://www.utahyouthsoccer.net/youth-members/,,http://www.xolosacademy.com
7 Elite Academy,7 Elite Academy,Utah Youth Soccer Association,St. George,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://us.7eliteacademy.com
FC Mesquite,Mesquite,Utah Youth Soccer Association,Mesquite,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://fcmesquitesoccer.com
Fire FC,Fire,Utah Youth Soccer Association,St. George,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://firefutbolclub.com
Ignite FC,Ignite,Utah Youth Soccer Association,St. George,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.ignitefc.com
Premier FC,Premier,Utah Youth Soccer Association,St. George,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.stgpremierfc.com
Southern Utah Soccer Association,Southern Utah Association,Utah Youth Soccer Association,Southern Utah,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.susakicks.com
St. George FC,St. George,Utah Youth Soccer Association,St. George,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://www.stgeorgefc.com
Utah FC,Utah,Utah Youth Soccer Association,Cedar City,Utah,https://www.utahyouthsoccer.net/youth-members/,,https://utahfccedarcity.com
