club_name,canonical_name,league_name,city,state,source_url,source_type,website
Basin Sounders,Basin Sounders,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
BVBIA WA - Seattle,Bvbia Wa - Seattle,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Cascade Premier Soccer Club,Cascade Premier,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Central Washington Sounders,Central Washington Sounders,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Dragons FC,Dragons,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Eagleclaw Football Club,Eagleclaw Football,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Emerald City FC,Emerald,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Everett Youth Soccer Club,Everett,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
FC Edmonds,Edmonds,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Highline Premier FC,Highline Premier,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Lake Washington Premier Football Club,Lake Washington Premier Football,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Mt. Rainier Futbol Club,Mt. Rainier Futbol,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
North County Alliance Football Club,North County Alliance Football,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
North Kitsap Soccer Club,North Kitsap,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Northlake Soccer Club,Northlake,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
NPSA,Npsa,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Puget Sound Soccer Club,Puget Sound,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Seattle Celtic,Seattle Celtic,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Seattle Reign Academy,Seattle Reign Academy,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Sparta Tacoma,Sparta Tacoma,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Steel United Washington,Steel Washington,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
TC United,Tc,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Twin City Union FC,Twin Union,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Washington East Surf Soccer Club,Washington East Surf,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
Wenatchee FC,Wenatchee,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
West Sound Soccer Academy,West Sound Academy,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/41134/clubs,,
CYSA Timber Barons,Cysa Timber Barons,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Evergreen United FC,Evergreen,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Gala FC,Gala,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Granite Falls YSC,Granite Falls Ysc,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Grays Harbor Gulls FC Academy,Grays Harbor Gulls Academy,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
LT Delfines FC,Lt Delfines,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Mukilteo Youth SC,Mukilteo,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Pacific FC Washington,Pacific Washington,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
PUMAS-UNAM Filial Seattle,Pumas-Unam Filial Seattle,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
Skagit Premier Football Club,Skagit Premier Football,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
South Kitsap Soccer Club,South Kitsap,Washington Youth Soccer,,Washington,https://system.gotsport.com/org_event/events/39584/clubs,,
