club_name,canonical_name,league_name,city,state,source_url
Barbour County,Barbour County,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
Belpre Soccer Club,Belpre,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
Club Ohio,Ohio,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
FC Alliance,Alliance,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
FC Ripley,Ripley,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
KVSL-Competitive,Kvsl-Competitive,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
KVSL-Great Teays SC,Kvsl-Great Teays,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
Legacy FC,Legacy,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
Ohio Valley Soccer League,Ohio Valley League,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
PK Soccer Academy,Pk Academy,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
Putnam United FC,Putnam,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
River Valley Soccer Club,River Valley,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
Shawnee Soccer Recreational Academy,Shawnee Recreational Academy,West Virginia Soccer Association,,West Virginia,https://system.gotsport.com/org_event/events/46532/clubs
