club_name,canonical_name,league_name,city,state,source_url,website,website_status,website_discovered_at,source_type,website_source
AYSO United (Alabama),Ayso,Alabama Soccer Association,,Alabama,https://system.gotsport.com/org_event/events/49334/clubs,https://www.aysounitedalabama.org/,,,,database
Arizona Arsenal Soccer Club,Arizona Arsenal,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,http://www.azarsenalsc.org/,,,,ecnl_directory
Arizona Soccer Club,Arizona,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://azsoccerskills.com/,,,,database
Barca Residency Academy USA,Barca Residency Academy Usa,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://barcaresidencyacademyusa.com/summer-soccer-camp/,,,,database
CCV STARS,Ccv Stars,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://ccvstarssc.com/,,,,ecnl_directory
Dynamos SC,Dynamos,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://azscore.com/football/team/dynamos,,,,database
FC Tucson Youth Soccer,Tucson,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://rslazsoccer.com/,,,,database
La Academia FC,La Academia,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://socceracademia.com/competitive/,,,,database
Next Level Soccer (AZ),Next Level,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.nextlevelsoccer.com/,,,,database
Phoenix Premier FC,Phoenix Premier,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.phoenixpremierfc.com/azsoccerclash,,,,database
Phoenix Rising FC,Phoenix Rising,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://www.phxrisingfc.com/youth,,,,ecnl_directory
Phoenix Rising FC North Valley,Phoenix Rising North Valley,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,,,,,
Pima County Surf Soccer Club,Pima County Surf,Arizona Soccer Club League,,AZ,https://system.gotsport.com/org_event/events/44446/clubs,https://pimacountysurf.com/,,,,database
