club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
Fairfax Virginia Union,,Fairfax Virginia Union ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,4603,105966,ECNL Girls,1,14,14,0,0,40,8,32,3.00,42,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
Charlotte SA,,Charlotte SA ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,26,112519,ECNL Girls,2,15,10,3,2,39,10,29,2.13,32,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
Arlington Soccer,,Arlington Soccer ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,525,115423,ECNL Girls,3,13,8,4,1,25,17,8,1.92,25,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
Wilmington Hammerheads,,Wilmington Hammerheads ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,2181,99310,ECNL Girls,4,16,7,6,3,18,22,-4,1.50,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
Richmond United,,Richmond United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,417,115037,ECNL Girls,5,14,6,6,2,15,11,4,1.42,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
NC Courage,,NC Courage ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,3404,105590,ECNL Girls,7,15,6,7,2,33,27,6,1.33,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
NCFC Youth,,NCFC Youth ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,22,98907,ECNL Girls,8,13,4,6,3,16,20,-4,1.15,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
Beach FC (VA),,Beach FC (VA) ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,628,112504,ECNL Girls,9,12,0,8,4,7,31,-24,0.33,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
NC Fusion,,NC Fusion ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Mid-Atlantic 2025-26,69,3925,71,112976,ECNL Girls,10,16,0,15,1,8,64,-56,0.06,1,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3925/12/69/0/0
World Class FC,,World Class FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,116,64207,ECNL Girls,1,8,6,0,2,19,4,15,2.50,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
SUSA FC,,SUSA FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,9,95340,ECNL Girls,2,12,7,3,2,12,6,6,1.91,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
FSA FC,,FSA FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,431,82176,ECNL Girls,3,11,5,0,6,17,8,9,1.90,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Select,,Select ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,342,95016,ECNL Girls,4,9,4,3,2,11,6,5,1.55,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Scorpions SC,,Scorpions SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,94,94742,ECNL Girls,5,8,3,3,2,7,7,0,1.37,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
FC Stars Blue,,FC Stars Blue ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,52,94540,ECNL Girls,6,12,3,6,3,13,16,-3,1.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
East Meadow SC,,East Meadow SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,42,95597,ECNL Girls,7,12,3,6,3,9,16,-7,1.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
FC Stars White,,FC Stars White ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,52,82242,ECNL Girls,8,11,1,6,4,3,14,-11,0.63,7,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Connecticut FC United,,Connecticut FC United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,31,114091,ECNL Girls,9,7,0,5,2,0,14,-14,0.28,2,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Florida Krush,,Florida Krush ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,379,106035,ECNL Girls,1,12,10,0,2,59,5,54,2.66,32,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Florida Premier FC,,Florida Premier FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,2731,113726,ECNL Girls,2,12,9,0,3,45,10,35,2.50,30,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Concorde Fire Platinum,,Concorde Fire Platinum ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,30,112295,ECNL Girls,4,11,8,1,2,38,9,29,2.36,26,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Sporting Jax,,Sporting Jax ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,1353,113642,ECNL Girls,5,12,8,0,4,23,5,18,2.33,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
United Futbol Academy,,United Futbol Academy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,3407,105642,ECNL Girls,6,12,6,3,3,25,20,5,1.75,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
FC Prime,,FC Prime ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,2329,105806,ECNL Girls,7,12,6,4,2,22,13,9,1.66,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Concorde Fire Premier,,Concorde Fire Premier ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,30,112296,ECNL Girls,8,12,5,4,3,22,26,-4,1.50,18,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
South Carolina United,,South Carolina United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,1689,98643,ECNL Girls,9,12,4,6,2,13,18,-5,1.16,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Atlanta Fire United,,Atlanta Fire United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,14,79849,ECNL Girls,10,11,3,6,2,11,27,-16,1.00,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Alabama FC,,Alabama FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,18,98886,ECNL Girls,11,10,2,5,3,8,21,-13,0.90,9,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Jacksonville FC,,Jacksonville FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,990,111248,ECNL Girls,12,13,3,9,1,7,31,-24,0.76,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Orlando Pride,,Orlando Pride ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,77,105992,ECNL Girls,13,13,2,9,2,11,35,-24,0.61,8,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
CESA Liberty,,CESA Liberty ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,380,106034,ECNL Girls,14,12,1,9,2,10,33,-23,0.41,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Florida West FC,,Florida West FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,3384,105972,ECNL Girls,15,13,1,10,2,15,52,-37,0.38,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
Tampa Bay United,,Tampa Bay United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Southeast 2025-26,69,3932,874,112271,ECNL Girls,16,13,1,11,1,11,48,-37,0.30,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3932/12/69/0/0
San Juan SC,,San Juan SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,88,103791,ECNL Girls,1,15,14,1,0,72,5,67,2.80,42,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Placer United,,Placer United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,3054,106265,ECNL Girls,2,16,12,3,1,35,12,23,2.31,37,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
MVLA,,MVLA ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,294,84876,ECNL Girls,3,15,11,3,1,55,9,46,2.26,34,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Mustang SC,,Mustang SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,69,104961,ECNL Girls,4,14,9,3,2,27,15,12,2.07,29,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Bay Area Surf,,Bay Area Surf ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,3986,115151,ECNL Girls,5,14,8,3,3,34,17,17,1.92,27,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Davis Legacy,,Davis Legacy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,1425,110984,ECNL Girls,6,15,5,6,4,19,21,-2,1.26,19,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Santa Rosa United,,Santa Rosa United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,91,12596,ECNL Girls,7,13,4,7,2,15,28,-13,1.07,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
COSC,,COSC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,1470,114556,ECNL Girls,8,16,3,9,4,17,52,-35,0.81,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Marin FC,,Marin FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,1585,82675,ECNL Girls,9,15,2,10,3,11,26,-15,0.60,9,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Pleasanton RAGE,,Pleasanton RAGE ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,80,44316,ECNL Girls,10,15,1,12,2,10,59,-49,0.33,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
De Anza Force,,De Anza Force ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,2510,112400,ECNL Girls,11,14,0,12,2,5,56,-51,0.14,2,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Michigan Hawks,,Michigan Hawks ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,2359,79689,ECNL Girls,1,9,7,1,1,23,2,21,2.44,22,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Eclipse Select SC,,Eclipse Select SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,43,97596,ECNL Girls,2,10,7,0,3,23,3,20,2.40,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Nationals Soccer Club,,Nationals Soccer Club ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,1713,115103,ECNL Girls,3,9,7,2,0,23,5,18,2.33,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
SLSG Navy,,SLSG Navy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,97,117332,ECNL Girls,4,10,7,1,2,31,6,25,2.30,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
SLSG Green,,SLSG Green ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,97,117330,ECNL Girls,5,10,6,3,1,12,8,4,1.90,19,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Chicago Inter Soccer,,Chicago Inter Soccer ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,2167,117700,ECNL Girls,6,10,6,3,1,15,13,2,1.90,19,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Kansas City Athletics,,Kansas City Athletics ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,2330,116235,ECNL Girls,7,10,5,3,2,14,13,1,1.70,17,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Missouri Rush,,Missouri Rush ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,1730,114381,ECNL Girls,8,10,3,3,4,12,18,-6,1.30,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Rockford Raptors,,Rockford Raptors ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,2017,98305,ECNL Girls,9,10,3,4,3,8,16,-8,1.20,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Gretna Elite Academy,,Gretna Elite Academy ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,373,111268,ECNL Girls,10,12,3,5,4,13,11,2,1.08,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Minnesota Thunder,,Minnesota Thunder ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,67,87978,ECNL Girls,11,12,3,6,3,14,23,-9,1.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Michigan Hawks Magic,,Michigan Hawks Magic ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,2359,79692,ECNL Girls,12,9,1,3,5,7,18,-11,0.88,8,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Sporting Blue Valley,,Sporting Blue Valley ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,102,104648,ECNL Girls,13,10,2,6,2,13,17,-4,0.80,8,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Liverpool FC IA Michigan,,Liverpool FC IA Michigan ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,3712,104671,ECNL Girls,14,9,2,6,1,11,22,-11,0.77,7,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
FC Wisconsin,,FC Wisconsin ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,54,82513,ECNL Girls,15,8,1,7,0,8,26,-18,0.37,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Sporting Iowa,,Sporting Iowa ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Midwest 2025-26,69,3926,3483,97576,ECNL Girls,16,12,1,11,0,7,33,-26,0.25,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3926/12/69/0/0
Sting Black,,Sting Black ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Texas 2025-26,69,3934,36,82159,ECNL Girls,1,11,11,0,0,34,4,30,3.00,33,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3934/12/69/0/0
Sting Royal,,Sting Royal ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Texas 2025-26,69,3934,36,111849,ECNL Girls,2,12,10,2,0,36,19,17,2.50,30,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3934/12/69/0/0
FC Dallas,,FC Dallas ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Texas 2025-26,69,3934,47,115991,ECNL Girls,3,11,9,2,0,56,7,49,2.45,27,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3934/12/69/0/0
Real Colorado National,,Real Colorado National ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Texas 2025-26,69,3934,81,99152,ECNL Girls,4,15,11,2,2,39,11,28,2.33,35,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3934/12/69/0/0
