club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
Bloomingdale Lightning FC,,Bloomingdale Lightning FC ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,2419,97159,ECNL Regional League Boys,1,11,10,1,0,73,6,67,2.72,30,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
FC 1974 Libertyville,,FC 1974 Libertyville ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,1255,97935,ECNL Regional League Boys,2,10,8,2,0,34,9,25,2.40,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
Northern Indiana Express,,Northern Indiana Express ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,4324,114136,ECNL Regional League Boys,3,11,6,3,2,22,19,3,1.81,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
Force,,Force ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,4326,98297,ECNL Regional League Boys,4,12,6,6,0,22,28,-6,1.50,18,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
Chicago City SC,,Chicago City SC ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,2476,97886,ECNL Regional League Boys,5,9,2,5,2,19,26,-7,0.88,8,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
Chicago Soccer Academy,,Chicago Soccer Academy ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,3153,114423,ECNL Regional League Boys,6,10,2,8,0,8,49,-41,0.60,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
Roadrunners SC,,Roadrunners SC ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Chicago Metro 2025-26,72,3892,5009,117195,ECNL Regional League Boys,7,11,1,10,0,9,50,-41,0.27,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3892/12/72/0/0
NCFC Youth Elite,,NCFC Youth Elite ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Carolinas 2025-26,72,3891,22,112370,ECNL Regional League Boys,1,14,12,2,0,66,13,53,2.57,36,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3891/12/72/0/0
NCFC Youth Premier,,NCFC Youth Premier ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Carolinas 2025-26,72,3891,22,112371,ECNL Regional League Boys,2,14,11,2,1,56,21,35,2.42,34,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3891/12/72/0/0
Charlotte SA Blue,,Charlotte SA Blue ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Carolinas 2025-26,72,3891,26,112746,ECNL Regional League Boys,3,17,13,4,0,46,26,20,2.29,39,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3891/12/72/0/0
NC Fusion,,NC Fusion ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Carolinas 2025-26,72,3891,71,112979,ECNL Regional League Boys,4,15,4,8,3,22,43,-21,1.00,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3891/12/72/0/0
Charlotte SA White,,Charlotte SA White ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Carolinas 2025-26,72,3891,26,112743,ECNL Regional League Boys,5,13,3,7,3,20,38,-18,0.92,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3891/12/72/0/0
Wilmington Hammerheads,,Wilmington Hammerheads ECNL RL B13 Qualification: n/a,13,Male,,,ECNL RL Boys Carolinas 2025-26,72,3891,2181,114820,ECNL Regional League Boys,6,16,4,10,2,20,40,-20,0.87,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3891/12/72/0/0
