club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
NCFC Youth Elite,,NCFC Youth Elite ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,22,112345,ECNL Regional League Girls,1,16,15,0,1,75,8,67,2.87,46,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
Charlotte SA Blue,,Charlotte SA Blue ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,26,112744,ECNL Regional League Girls,2,17,11,6,0,39,24,15,1.94,33,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
Charlotte SA White,,Charlotte SA White ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,26,112742,ECNL Regional League Girls,3,15,8,6,1,23,24,-1,1.66,25,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
NCFC Youth Premier,,NCFC Youth Premier ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,22,112346,ECNL Regional League Girls,4,16,8,6,2,26,25,1,1.62,26,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
Highland FC,,Highland FC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,4012,113280,ECNL Regional League Girls,5,16,3,9,4,13,36,-23,0.81,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
Wilmington Hammerheads,,Wilmington Hammerheads ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,2181,117227,ECNL Regional League Girls,6,16,2,10,4,11,30,-19,0.62,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
NC Fusion,,NC Fusion ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Carolinas 2025-26,71,3935,71,112977,ECNL Regional League Girls,7,16,1,11,4,10,50,-40,0.43,7,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3935/12/71/0/0
Kansas City Surf,,Kansas City Surf ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3740,115487,ECNL Regional League Girls,1,16,15,0,1,79,5,74,2.87,46,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
FC Tulsa Academy,,FC Tulsa Academy ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3620,87928,ECNL Regional League Girls,2,17,13,2,2,74,10,64,2.41,41,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
FC Wichita,,FC Wichita ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3486,104241,ECNL Regional League Girls,3,17,12,3,2,57,9,48,2.23,38,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
Sporting Springfield,,Sporting Springfield ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3584,117345,ECNL Regional League Girls,4,17,11,4,2,51,13,38,2.05,35,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
OK Energy FC,,OK Energy FC ECNL RL G13 II Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,2133,114829,ECNL Regional League Girls,5,18,7,7,4,36,34,2,1.38,25,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
Arkansas Comets FC,,Arkansas Comets FC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3585,90163,ECNL Regional League Girls,6,18,7,8,3,38,29,9,1.33,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
SW Missouri Rush,,SW Missouri Rush ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,5136,111563,ECNL Regional League Girls,7,17,7,10,0,22,45,-23,1.23,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
West Side Alliance Tulsa,,West Side Alliance Tulsa ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3587,78760,ECNL Regional League Girls,8,17,3,12,2,10,45,-35,0.64,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
Oklahoma Cosmos,,Oklahoma Cosmos ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,2250,91921,ECNL Regional League Girls,9,15,2,13,0,8,68,-60,0.40,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
West Side Alliance OKC,,West Side Alliance OKC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Frontier 2025-26,71,3937,3587,79158,ECNL Regional League Girls,10,18,0,18,0,1,118,-117,0.00,0,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3937/12/71/0/0
Sporting Jax,,Sporting Jax ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,1353,113641,ECNL Regional League Girls,1,14,13,1,0,39,2,37,2.78,39,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
Orlando City,,Orlando City ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,77,111367,ECNL Regional League Girls,2,13,11,2,0,30,8,22,2.53,33,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
FL Premier FC,,FL Premier FC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,2731,106039,ECNL Regional League Girls,3,13,7,4,2,28,11,17,1.76,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
Florida Krush,,Florida Krush ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,379,113717,ECNL Regional League Girls,4,15,8,5,2,18,15,3,1.73,26,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
St. Petersburg FC,,St. Petersburg FC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,4905,114270,ECNL Regional League Girls,5,13,5,6,2,14,19,-5,1.30,17,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
West Florida Flames,,West Florida Flames ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,111,112393,ECNL Regional League Girls,6,13,5,7,1,12,20,-8,1.23,16,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
Jacksonville FC,,Jacksonville FC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,990,111249,ECNL Regional League Girls,7,14,2,7,5,10,19,-9,0.78,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
Tampa Bay United,,Tampa Bay United ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,874,112215,ECNL Regional League Girls,8,13,3,9,1,14,24,-10,0.76,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
Sporting Club Tallahassee,,Sporting Club Tallahassee ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,4317,113721,ECNL Regional League Girls,9,14,0,13,1,2,49,-47,0.07,1,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
Team Boca Soccer,,Team Boca Soccer ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,390,111244,ECNL Regional League Girls,1,14,12,0,2,29,7,22,2.71,38,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
SWFL Premier FC,,SWFL Premier FC ECNL RL G13 Qualification: n/a,13,Female,,,ECNL RL Girls Florida 2025-26,71,3936,2731,111661,ECNL Regional League Girls,3,14,10,4,0,37,12,25,2.14,30,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3936/12/71/0/0
