club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
El Paso Locomotive,,El Paso Locomotive ECNL B13 Qualification: Champions League 44,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,4368,98264,ECNL,1,7,4,2,1,18,7,11,1.85,13,Champions League 44,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
Colorado EDGE SC,,Colorado EDGE SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,3639,112846,ECNL,2,9,4,5,0,18,13,5,1.33,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
NM Rapids,,NM Rapids ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,1560,111371,ECNL,3,8,3,4,1,9,17,-8,1.25,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
Real Colorado National,,Real Colorado National ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,81,113305,ECNL,4,10,1,7,2,8,23,-15,0.50,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
Pride SC,,Pride SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,2335,111974,ECNL,5,9,1,8,0,3,35,-32,0.33,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
La Roca FC,,La Roca FC ECNL B13 Qualification: Champions League 15,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,1760,117541,ECNL,1,14,11,0,3,42,2,40,2.57,36,Champions League 15,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
Utah Avalanche,,Utah Avalanche ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,107,99090,ECNL,2,14,8,4,2,31,16,15,1.85,26,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
Colorado Rush Academy Blue,,Colorado Rush Academy Blue ECNL B13 Qualification: Champions League 1,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,28,112022,ECNL,3,14,7,3,4,23,14,9,1.78,25,Champions League 1,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
CCV Stars,,CCV Stars ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,1936,95670,ECNL,4,13,4,4,5,15,17,-2,1.30,17,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
Colorado Rapids Central,,Colorado Rapids Central ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Mountain 2025-26,70,3882,29,114004,ECNL,5,13,4,7,2,15,24,-9,1.07,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3882/12/70/0/0
