club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
East Futbol Club,East Futbol Club East FC 2010B Azul,,,Male,Great Lakes Premier League,Great Lakes Premier League,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/32952
Detroit Badgers FC,Detroit Badgers FC Detroit Badgers 2012,,,Male,Classic 2 East,Classic 2 East,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/30829
Detroit Badgers FC,Detroit Badgers FC Detroit Badgers 2011 Premier,,,Male,Classic 2 East Red,Central 2 East Red,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/30829
Chaos Soccer,Chaos Soccer Chaos 13' Red,,,Male,Premier 2 East,Premier 2 East Blue,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/11685
County Western,County Western WSC U14G Black,,,Female,Premier West,Premier West,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/14087
County Western,County Western WSC U13B Black,,,Male,Classic 1 West,Classic 1 West,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/14087
County Western,County Western WSC U15B Black,,,Male,Classic 1 West,Classic 1 West,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/14087
Bloomfield Hills YSL,Bloomfield Hills YSL Bloomfield Select 2013 Girls Purple,,,Female,Classic 1 East,Classic 1 East,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/11676
Detroit City FC South Oakland,Detroit City FC South Oakland DCFC South Oakland 13G Rouge,,,Female,Classic 2 East,Classic 2 East,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/25552
Detroit City FC South Oakland,Detroit City FC South Oakland DCFC South Oakland 12G Gold,,,Female,Classic 1 East,Classic 1 East Red,,,50611,Michigan State Premier Soccer Program,,,,,,,,,,,,https://system.gotsport.com/org_event/events/50611/clubs/25552
