club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
LVU Rush,,LVU Rush Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,451,96685,Pre-ECNL Boys,1,21,16,0,5,64,5,59,2.52,53,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
Penn Fusion SA,,Penn Fusion SA Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,79,94711,Pre-ECNL Boys,2,21,14,3,4,70,29,41,2.19,46,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
Pipeline SC,,Pipeline SC Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,3405,91703,Pre-ECNL Boys,3,21,13,3,5,54,24,30,2.09,44,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
Potomac Soccer Association,,Potomac Soccer Association Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,1940,96841,Pre-ECNL Boys,4,21,8,6,7,37,32,5,1.47,31,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
Baltimore Celtic,,Baltimore Celtic Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,494,94096,Pre-ECNL Boys,5,19,7,9,3,34,36,-2,1.26,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
Maryland United FC,,Maryland United FC Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,419,95034,Pre-ECNL Boys,6,20,4,13,3,22,42,-20,0.75,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
HEX FC Dominion,,HEX FC Dominion Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,46,95337,Pre-ECNL Boys,7,21,3,15,3,17,55,-38,0.57,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
Match Fit Academy,,Match Fit Academy Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys North Atlantic 2024-25,67,3278,64,88549,Pre-ECNL Boys,8,20,0,16,4,13,88,-75,0.20,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3278/12/67/0/0
River Islands Surf,,River Islands Surf Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys Northern Cal 2024-25,67,3765,2955,99191,Pre-ECNL Boys,1,5,5,0,0,16,2,14,3.00,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3765/12/67/0/0
El Camino Futbol Club Salinas,,El Camino Futbol Club Salinas Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys Northern Cal 2024-25,67,3765,4063,99057,Pre-ECNL Boys,2,5,4,0,1,31,5,26,2.60,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3765/12/67/0/0
MVLA,,MVLA Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys Northern Cal 2024-25,67,3765,294,99148,Pre-ECNL Boys,3,6,4,1,1,22,7,15,2.16,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3765/12/67/0/0
Placer United,,Placer United Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys Northern Cal 2024-25,67,3765,3054,99066,Pre-ECNL Boys,4,6,4,1,1,16,4,12,2.16,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3765/12/67/0/0
Association FC,,Association FC Pre-ECNL B13 Qualification: n/a,13,Male,,,Pre-ECNL Boys Northern Cal 2024-25,67,3765,3065,98785,Pre-ECNL Boys,5,6,4,2,0,23,8,15,2.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3765/12/67/0/0
