club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
FC Pride Elite,,FC Pride Elite Pre-ECNL G16 Qualification: n/a,16,Female,,,Pre-ECNL Girls Ohio Valley Fall 2024,66,3211,1501,88639,Pre-ECNL Girls,4,8,3,5,0,26,29,-3,1.12,9,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3211/12/66/0/0
Ohio Elite Soccer Academy,,Ohio Elite Soccer Academy Pre-ECNL G16 Qualification: n/a,16,Female,,,Pre-ECNL Girls Ohio Valley Fall 2024,66,3211,75,94127,Pre-ECNL Girls,5,8,0,8,0,3,37,-34,0.00,0,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3211/12/66/0/0
Mercury,,Mercury Pre ECNL G16 Ventre Qualification: n/a,16,Female,,,Pre-ECNL Girls Ohio Valley Spring 2025,66,3641,3650,93335,Pre-ECNL Girls,1,10,9,0,1,61,14,47,2.80,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3641/12/66/0/0
FC Pride Elite,,FC Pride Elite Pre-ECNL G16 Qualification: n/a,16,Female,,,Pre-ECNL Girls Ohio Valley Spring 2025,66,3641,1501,88639,Pre-ECNL Girls,4,10,3,6,1,29,27,2,1.00,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3641/12/66/0/0
Ohio Elite Soccer Academy,,Ohio Elite Soccer Academy Pre-ECNL G16 Qualification: n/a,16,Female,,,Pre-ECNL Girls Ohio Valley Spring 2025,66,3641,75,94127,Pre-ECNL Girls,5,10,3,6,1,27,37,-10,1.00,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3641/12/66/0/0
Chicago Inter,,Chicago Inter Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,2167,97598,Pre-ECNL Girls,1,11,10,0,1,46,4,42,2.81,31,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
Evolution SC Mercurial,,Evolution SC Mercurial ECNL RL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,3031,97829,Pre-ECNL Girls,2,12,9,2,1,40,13,27,2.33,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
NWI Lions United,,NWI Lions United Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,4038,97430,Pre-ECNL Girls,3,12,7,4,1,21,20,1,1.83,22,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
Rockford Raptors,,Rockford Raptors Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,2017,98305,Pre-ECNL Girls,4,11,3,6,2,12,20,-8,1.00,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
FC Wisconsin,,FC Wisconsin Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,54,82513,Pre-ECNL Girls,5,12,4,8,0,21,30,-9,1.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
Libertyville FC 1974,,Libertyville FC 1974 Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,1255,97424,Pre-ECNL Girls,6,12,3,7,2,22,31,-9,0.91,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
Indiana Elite FC,,Indiana Elite FC Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Lake Michigan 2024-25,66,3337,2257,80537,Pre-ECNL Girls,7,12,1,10,1,6,50,-44,0.33,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3337/12/66/0/0
CFC North,,CFC North Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,4349,94750,Pre-ECNL Girls,1,13,12,0,1,79,14,65,2.84,37,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
New England Surf,,New England Surf Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,4297,90584,Pre-ECNL Girls,2,13,10,1,2,67,19,48,2.46,32,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
Albany Alleycats,,Albany Alleycats Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,331,83097,Pre-ECNL Girls,3,14,7,7,0,36,33,3,1.50,21,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
Quickstrike FC,,Quickstrike FC Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,435,95039,Pre-ECNL Girls,4,14,6,6,2,30,32,-2,1.42,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
SUSA FC Northeast,,SUSA FC Northeast Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,9,95380,Pre-ECNL Girls,5,14,5,7,2,26,41,-15,1.21,17,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
FC Stars Skyblue,,FC Stars Skyblue Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,52,94539,Pre-ECNL Girls,6,13,4,6,3,21,41,-20,1.15,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
Scorpions SC South,,Scorpions SC South Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,94,94744,Pre-ECNL Girls,7,14,4,9,1,21,45,-24,0.92,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
CFC South,,CFC South Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,31,97335,Pre-ECNL Girls,8,13,0,12,1,13,68,-55,0.07,1,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
LVU RUSH,,LVU RUSH Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,451,94946,Pre-ECNL Girls,1,24,23,0,1,133,10,123,2.91,70,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
Match Fit Academy Shore,,Match Fit Academy Shore Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,64,97617,Pre-ECNL Girls,2,22,15,3,4,90,21,69,2.22,49,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
Long Island Slammers,,Long Island Slammers Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,3288,97863,Pre-ECNL Girls,3,23,16,4,3,65,27,38,2.21,51,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
Match Fit Mercer,,Match Fit Mercer Pre-ECNL G13 Qualification: n/a,13,Female,,,Pre-ECNL Girls Northeast 2024-25,66,3286,64,54559,Pre-ECNL Girls,4,24,14,6,4,59,25,34,1.91,46,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3286/12/66/0/0
