club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
FC Tulsa Academy,,FC Tulsa Academy Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,3620,117019,Pre-ECNL North Boys,1,11,9,1,1,35,13,22,2.54,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
Arkansas Comets FC,,Arkansas Comets FC Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,3585,111443,Pre-ECNL North Boys,2,12,8,2,2,47,30,17,2.16,26,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
Southwest MO Rush,,Southwest MO Rush Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,5136,117422,Pre-ECNL North Boys,3,10,5,5,0,28,29,-1,1.50,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
OK Energy FC,,OK Energy FC Pre-ECNL B15 III Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,2133,114833,Pre-ECNL North Boys,4,11,4,4,3,34,29,5,1.36,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
Tulsa SC Frontier,,Tulsa SC Frontier Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,106,73344,Pre-ECNL North Boys,5,11,5,6,0,25,35,-10,1.36,15,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
West Side Alliance Frontier,,West Side Alliance Frontier Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,3587,75636,Pre-ECNL North Boys,6,10,1,6,3,27,43,-16,0.60,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
Arkansas Rising,,Arkansas Rising Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,3594,99338,Pre-ECNL North Boys,7,11,1,9,1,30,47,-17,0.36,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
Kernow Storm FC Frontier,,Kernow Storm FC Frontier Pre-ECNL B15 Qualification: n/a,15,Male,,,Pre-ECNL Boys Frontier 2025-26,76,4007,3694,118066,Pre-ECNL North Boys,8,0,0,0,0,0,0,0,,0,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4007/12/76/0/0
El Paso Locomotive SC,,El Paso Locomotive SC Pre-ECNL B14 Qualification: n/a,14,Male,,,Pre-ECNL Boys Mountain 2025-26,76,4023,4368,116016,Pre-ECNL North Boys,1,6,4,0,2,27,8,19,2.33,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4023/12/76/0/0
PlayMaker Futbol Academy,,PlayMaker Futbol Academy Pre-ECNL B14 Qualification: n/a,14,Male,,,Pre-ECNL Boys Mountain 2025-26,76,4023,5137,116432,Pre-ECNL North Boys,2,7,4,1,2,16,9,7,2.00,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4023/12/76/0/0
Arizona Arsenal,,Arizona Arsenal Pre-ECNL B14 Qualification: n/a,14,Male,,,Pre-ECNL Boys Mountain 2025-26,76,4023,592,111804,Pre-ECNL North Boys,3,6,2,0,4,18,16,2,1.66,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4023/12/76/0/0
NM Rapids,,NM Rapids Pre-ECNL B14 Qualification: n/a,14,Male,,,Pre-ECNL Boys Mountain 2025-26,76,4023,1560,111373,Pre-ECNL North Boys,4,6,1,2,3,11,12,-1,1.00,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4023/12/76/0/0
FC Arizona,,FC Arizona PRE-ECNL RL B14 Qualification: n/a,14,Male,,,Pre-ECNL Boys Mountain 2025-26,76,4023,3998,115635,Pre-ECNL North Boys,5,7,2,5,0,8,26,-18,0.85,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4023/12/76/0/0
