club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
Mercury,,Mercury Pre-ECNL G17 Paulo Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Fall 2025,75,3980,3650,112571,Pre-ECNL North Girls,1,6,3,0,3,19,6,13,2.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3980/12/75/0/0
Mercury,,Mercury Pre-ECNL G17 Jacobsen Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Fall 2025,75,3980,3650,112553,Pre-ECNL North Girls,2,6,3,1,2,12,10,2,1.83,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3980/12/75/0/0
FC Pride Elite,,FC Pride Elite Pre-ECNL G17 Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Fall 2025,75,3980,1501,88616,Pre-ECNL North Girls,4,6,0,5,1,4,20,-16,0.16,1,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3980/12/75/0/0
Mercury,,Mercury Pre-ECNL G17 Paulo Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Spring 2026,75,4169,3650,112571,Pre-ECNL North Girls,1,1,1,0,0,5,2,3,3.00,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4169/12/75/0/0
Mercury,,Mercury Pre-ECNL G17 Jacobsen Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Spring 2026,75,4169,3650,112553,Pre-ECNL North Girls,2,2,2,0,0,4,2,2,3.00,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4169/12/75/0/0
Sporting Columbus,,Sporting Columbus Pre ECNL G17 Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Spring 2026,75,4169,4009,126123,Pre-ECNL North Girls,3,2,1,1,0,4,4,0,1.50,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4169/12/75/0/0
FC Pride Elite,,FC Pride Elite Pre-ECNL G17 Qualification: n/a,17,Female,,,Pre-ECNL Girls Ohio Valley Spring 2026,75,4169,1501,88616,Pre-ECNL North Girls,4,3,1,2,0,5,6,-1,1.00,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4169/12/75/0/0
Match Fit Surf,,Match Fit Surf Pre-ECNL G14 Qualification: n/a,14,Female,,,Pre-ECNL Girls North Atlantic 2025-26,75,3959,64,78082,Pre-ECNL North Girls,1,13,13,0,0,80,8,72,3.00,39,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3959/12/75/0/0
FC DELCO,,FC DELCO Pre-ECNL G14 Qualification: n/a,14,Female,,,Pre-ECNL Girls North Atlantic 2025-26,75,3959,598,105801,Pre-ECNL North Girls,2,11,8,3,0,34,16,18,2.18,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3959/12/75/0/0
Penn Fusion SA,,Penn Fusion SA Pre-ECNL G14 Qualification: n/a,14,Female,,,Pre-ECNL Girls North Atlantic 2025-26,75,3959,79,114897,Pre-ECNL North Girls,3,13,9,3,1,40,21,19,2.15,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3959/12/75/0/0
