club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
California Rush Soccer Club,California Rush Soccer Club California Rush G15 Azul - Moval,,G15,Female,G15 - Flight 2 East II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush G13 Cinza - Moval,,G13,Female,G13 - Flight 3 East,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush G11 Azul - Huntington Beach,,G11,Female,G11 - Flight 1 West,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush G10 Cinza - Riverside,,G10,Female,G10 - Flight 3 East II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B16 Azul - Moreno Valley,,B16,Male,B16 - Flight 2 East III,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B16 Cinza - Moval,,B16,Male,B16 - Flight 3 East III,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B16 Nero - HB,,B16,Male,B16 - Flight 2 South II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B15 Azul - Huntington Beach,,B15,Male,B15 - Flight 2 South,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B15 Nero - Huntington Beach,,B15,Male,B15 - Flight 1 South,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B14 Azul - Norwalk,,B14,Male,B14 - Flight 3 Central II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B14 Cinza - South Bay,,B14,Male,B14 - Flight 2 West II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B13 Azul - Norwalk,,B13,Male,B13 - Flight 3 Central,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B13 Cinza - Huntington Beach,,B13,Male,B13 - Flight 2 South,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B13 Cinza - Riverside,,B13,Male,B13 - Flight 3 East II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B11 Cinza - Riverside,,B11,Male,B11 - Flight 3 East II,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B11 Nero - Norwalk,,B11,Male,B11 - Flight 1 East,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B10 Azul - Riverside,,B10,Male,B10 - Flight 2 East,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
California Rush Soccer Club,California Rush Soccer Club California Rush B09 Nero - Norwalk,,B09,Male,B09 - Flight 1 Central,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/13228
Borussia Del Mar Soccer Club,Borussia Del Mar Soccer Club BDM Girls 2014,,,Female,G14 - Flight 4 North SD,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/18883
Borussia Del Mar Soccer Club,Borussia Del Mar Soccer Club Borussia Del Mar Girls 2012,,,Female,G12 - Flight 3 SD,Bracket A,,,43086,SOCAL Soccer League,,,,,,,,,,,,https://system.gotsport.com/org_event/events/43086/clubs/18883
